UserID,VideoGameID,HoursPlayed
0,227,5.9
0,852,145.0
0,978,1.0
0,984,1.0
0,1131,1.0
0,1179,1.0
0,1248,63.0
0,1336,1.2
0,2069,1.0
0,2070,1.0
0,2071,1.0
0,2072,1.0
0,2073,1.0
0,2074,1.0
0,2076,1.0
0,2078,1.0
0,3222,1.0
0,3223,14.6
0,3531,1.0
0,4257,1.8
0,4258,1.0
1,174,14.1
1,227,1.8
1,322,1.0
1,326,1.0
1,327,1.0
1,442,25.0
1,726,23.0
1,727,13.5
1,736,66.0
1,737,166.0
1,740,16.9
1,741,10.7
1,743,272.0
1,978,366.0
1,981,4.5
1,984,26.0
1,1131,1.0
1,1179,1.0
1,2069,2.2
1,2076,1.0
1,2078,1.0
1,3223,16.0
1,3531,1.0
1,3544,6.7
1,4258,1.0
1,4492,2.8
1,4539,1.0
1,4540,1.0
1,4541,1.0
1,4542,1.0
1,4543,1.0
1,4544,1.0
1,4545,4.4
1,4546,1.0
1,4663,208.0
1,5021,1.4
2,174,1.7
2,175,1.0
2,206,1.2
2,207,1.0
2,322,1.0
2,326,1.0
2,327,1.0
2,379,58.0
2,426,1.0
2,427,1.0
2,428,1.0
2,429,1.0
2,430,1.0
2,619,1.7
2,978,1.0
2,1131,1.0
2,1179,1.0
2,1247,1.0
2,1248,1.0
2,1250,1.0
2,1251,1.0
2,1266,1.0
2,1267,1.0
2,1269,1.0
2,1635,1.0
2,1691,18.8
2,2069,1.0
2,2070,1.0
2,2072,1.0
2,2076,1.0
2,2078,1.0
2,2120,1.0
2,2121,1.0
2,2122,1.0
2,2372,6.3
2,2432,1.0
2,2475,17.4
2,2668,1.9
2,3023,1.0
2,3024,1.0
2,3057,1.0
2,3059,1.0
2,3060,1.0
2,3211,1.0
2,3222,1.2
2,3223,1.0
2,3312,1.0
2,3313,1.0
2,3531,1.0
2,3546,1.0
2,3684,1.0
2,3685,1.0
2,3686,1.0
2,3687,1.0
2,3688,1.0
2,3742,1.0
2,3743,1.0
2,3744,1.0
2,3745,1.0
2,3746,1.0
2,3747,1.0
2,3748,1.2
2,3751,1.0
2,3871,1.0
2,4258,1.0
2,4364,114.0
2,4365,1.0
2,4366,1.0
2,4367,1.0
2,4516,2.8
2,4596,1.2
2,4597,1.0
2,4599,1.0
2,4642,1.0
2,4658,4.6
2,4719,1.0
2,4777,1.0
2,4878,1.0
2,4879,1.0
2,4880,1.0
2,4881,1.0
2,5053,38.0
3,978,1.0
3,979,1.0
3,980,1.0
3,1131,1.0
3,1179,1.0
3,2069,1.0
3,2076,1.0
3,2078,1.0
3,3531,1.0
3,4258,1.0
4,978,1.1
4,1131,1.0
4,1179,1.0
4,2069,1.0
4,2076,1.0
4,2078,1.0
4,3531,1.0
4,4258,1.0
5,978,2.8
5,984,1.0
5,1131,1.0
5,1179,1.0
5,2069,1.0
5,2070,1.0
5,2071,1.0
