userId,movieId,rating
474,185,3.0
62,96079,4.5
298,127198,3.0
414,3836,5.0
68,7360,4.5
292,3793,3.0
57,107,3.0
474,2792,3.0
590,6534,2.0
232,1148,2.5
387,3911,3.0
438,6156,3.0
42,2028,5.0
381,6503,3.0
226,1029,3.5
307,4520,2.0
354,1732,4.0
91,4626,4.0
156,45,4.0
599,112171,3.0
586,1221,3.0
217,1762,1.0
352,2966,4.0
140,1193,3.0
328,1221,5.0
372,235,2.0
414,66934,4.0
298,6953,2.0
288,1873,3.0
562,2424,4.0
18,1095,4.0
469,2641,4.0
275,5938,5.0
232,39231,3.0
603,1295,2.0
202,1584,5.0
105,99114,4.0
448,2537,3.0
292,5108,2.0
332,33004,2.0
305,3198,3.5
66,663,3.5
239,597,4.0
600,6874,4.5
317,223,4.0
339,3578,5.0
462,34528,4.0
103,337,4.0
307,1895,2.0
274,1588,2.0
477,3897,4.0
606,8724,4.0
156,2247,3.0
20,3977,3.5
514,2716,4.0
480,353,3.0
222,2329,3.5
249,94777,4.0
50,5618,4.0
307,59421,3.0
317,1258,5.0
480,1923,4.0
294,445,1.0
298,52973,3.0
103,2997,5.0
387,26052,4.0
313,2762,4.0
414,3147,4.0
484,3177,4.0
232,69844,3.5
448,1961,3.0
160,858,5.0
563,94325,4.0
325,2470,3.0
125,142222,4.0
560,45447,3.0
50,8235,3.0
325,1280,4.0
169,339,4.0
484,8363,4.5
599,553,2.5
105,122904,4.0
448,1148,4.0
275,2859,4.0
372,318,5.0
226,2953,3.0
219,1882,2.0
434,5349,3.5
607,2616,3.0
28,290,3.0
380,32017,3.0
219,27611,4.0
20,1032,3.5
385,1356,4.0
606,908,4.5
1,47,5.0
68,68954,3.0
294,378,1.0
448,3130,2.0
1,1275,5.0
125,1261,4.5
385,1036,3.0
367,3114,5.0
474,7171,3.0
489,80551,3.5
380,104419,4.0
304,5060,4.0
599,6287,1.5
469,329,2.0
590,4015,1.5
452,3301,5.0
414,319,4.0
292,3316,2.0
219,1240,4.0
414,8972,2.0
232,8937,3.5
105,16,4.5
18,78469,3.0
105,85774,4.5
84,232,5.0
610,42632,4.0
477,316,3.0
122,70,4.5
489,2671,3.5
354,1219,4.0
317,76077,2.0
160,2745,3.0
600,2060,4.0
448,2642,3.0
610,73017,3.5
606,2819,4.0
428,2004,2.0
385,1385,2.0
414,7175,2.0
580,8371,5.0
19,931,4.0
313,1480,4.0
217,2477,3.0
599,6238,2.5
21,115617,4.0
21,103384,4.0
474,3269,2.0
608,1779,3.5
294,2518,2.0
438,3717,3.5
414,5325,4.0
42,548,4.0
599,5004,3.5
202,3552,4.0
187,7445,2.0
307,69122,5.0
448,45728,5.0
387,1234,3.0
274,53121,2.0
356,2005,4.0
514,1259,4.5
603,2070,4.0
182,1941,4.0
68,33437,3.0
381,72226,5.0
217,2416,3.0
428,3624,1.0
132,920,3.0
232,7438,3.0
509,67408,3.0
596,541,4.0
534,93326,2.0
610,91500,4.0
274,8644,2.5
305,32,5.0
105,5952,4.0
368,1729,3.0
19,410,2.0
610,6947,4.0
599,114180,2.5
606,1837,3.0
307,6787,4.0
307,6535,1.0
111,81537,3.5
354,3617,3.5
610,8042,4.0
599,3408,2.5
387,43904,2.0
318,91658,3.5
520,2470,4.0
105,6863,3.5
414,191,2.0
125,3949,2.5
474,954,4.5
318,53322,3.5
428,3751,2.0
82,4270,3.0
600,29,4.5
288,1584,4.0
380,50794,2.0
57,185,2.0
19,2110,3.0
414,4220,4.0
462,3200,4.0
552,2735,1.5
479,4995,5.0
234,3175,4.0
596,134130,4.0
220,8961,4.5
586,82169,4.5
597,236,2.0
288,3525,1.0
448,1432,2.0
608,1717,3.5
600,208,2.0
438,2321,3.5
304,1370,4.0
414,46335,2.5
562,99191,4.0
318,168612,3.5
105,293,5.0
330,1207,4.0
382,34048,4.5
202,3685,4.0
198,3863,2.0
28,8950,4.0
68,56949,4.0
317,121253,3.0
462,7153,4.5
381,2987,3.0
89,73042,5.0
169,2012,4.5
555,2371,3.0
382,102125,4.0
462,6380,5.0
50,356,3.0
448,135,2.0
288,1356,4.5
448,5478,2.5
274,111,3.0
73,58559,4.5
387,1663,3.5
182,2295,4.0
318,89492,3.5
288,32009,2.0
20,3948,3.5
219,7143,4.0
298,2599,2.5
391,1947,4.0
160,1587,1.0
122,69122,4.5
288,5952,3.5
448,78116,3.5
608,6796,3.5
68,4816,4.0
372,1302,3.0
603,3552,2.0
232,2167,3.5
6,8,3.0
610,3089,3.0
561,2012,3.5
140,5867,5.0
483,2858,4.0
41,4890,3.0
600,1371,3.5
414,3969,4.0
414,43396,3.0
91,920,2.5
42,1644,2.0
292,5989,2.0
330,141,4.0
199,5377,4.0
603,1219,5.0
339,37741,4.5
380,1876,3.0
139,54286,2.5
474,3987,3.0
298,3984,3.0
474,5528,4.0
62,3752,3.5
610,79702,4.0
274,553,4.5
177,6934,1.5
387,5497,3.5
432,5507,1.5
105,102407,4.5
318,1136,3.5
391,1704,3.0
186,898,4.0
610,780,3.5
318,40819,3.5
122,96079,4.5
438,4306,4.5
560,5618,4.0
111,107348,2.5
105,92535,4.5
590,5872,2.0
305,1232,5.0
474,349,3.0
160,485,0.5
387,32314,3.5
239,8361,4.0
219,53519,4.0
226,2716,4.0
232,55765,4.0
448,118354,3.0
357,277,4.0
474,936,4.0
45,1769,3.0
448,4447,1.5
91,588,3.5
555,2248,4.0
483,1409,1.0
249,107953,4.0
119,4367,4.0
50,105250,3.5
226,2335,2.0
339,88129,3.5
274,1961,3.5
477,31658,5.0
610,110746,4.0
414,493,4.0
57,52,3.0
307,473,1.5
294,1858,2.0
57,2571,5.0
603,3577,1.0
104,5796,2.0
187,922,5.0
489,7147,0.5
380,4036,4.0
560,5574,3.5
599,44840,1.0
177,661,3.0
606,147,4.0
380,2392,2.5
562,2459,4.0
217,587,3.0
489,5970,3.0
318,3283,4.5
567,135536,0.5
45,4502,1.0
219,6373,3.0
103,2791,3.5
182,4149,2.5
91,2990,2.0
105,5618,4.0
428,5504,0.5
448,3471,4.0
111,80166,3.0
111,68554,4.0
599,1357,3.0
509,56757,3.0
82,4246,2.5
140,4795,4.0
202,3703,3.0
448,77191,2.5
606,1365,3.5
111,74275,2.5
307,3649,2.5
448,52722,3.0
561,6711,3.0
414,373,4.0
91,3841,2.5
217,1359,1.0
597,2371,5.0
484,1895,4.0
414,1836,4.5
19,1882,2.0
212,76251,3.5
474,39869,4.0
68,1513,3.5
105,1221,4.5
425,6016,4.5
263,296,3.0
580,6985,2.5
63,4299,3.0
438,2501,3.5
599,833,1.5
226,2916,4.0
239,2628,3.5
330,1278,4.0
599,262,2.5
356,1682,3.0
480,260,4.5
489,1438,2.0
274,1327,3.0
414,1967,4.0
84,587,3.0
520,2012,4.0
517,17,0.5
139,8961,3.5
187,39292,4.0
448,3639,4.5
125,152284,3.5
139,4025,2.0
428,1500,3.0
156,1954,3.5
357,2581,4.0
555,1258,5.0
305,1884,5.0
68,3740,2.5
226,1276,4.5
84,1219,4.0
462,3422,4.0
325,1674,3.0
239,45950,4.0
599,95147,3.5
599,6774,2.5
305,49347,3.0
368,3301,3.0
391,2502,5.0
328,7293,2.5
357,6612,4.0
606,3535,3.0
232,4343,2.5
232,34534,3.0
600,48774,4.0
599,3386,3.5
200,49272,5.0
89,42013,3.0
66,637,3.0
91,1288,3.5
448,599,5.0
182,4310,2.0
132,520,1.5
357,4848,4.0
567,673,2.0
368,517,3.0
462,116797,3.5
608,2392,2.0
226,888,0.5
552,1544,3.0
318,58376,4.5
474,1209,3.5
105,55269,3.0
182,6193,3.5
573,76251,4.5
105,1235,3.5
480,2617,3.0
428,2808,2.0
509,69644,2.5
42,349,4.0
232,7254,4.0
580,8092,3.0
28,63082,4.0
20,5481,1.0
606,55052,3.5
