category,x,y
1,55.3846,97.1795
1,51.5385,96.0256
1,46.1538,94.4872
1,42.8205,91.4103
1,40.7692,88.3333
1,38.7179,84.8718
1,35.641,79.8718
1,33.0769,77.5641
1,28.9744,74.4872
1,26.1538,71.4103
1,23.0769,66.4103
1,22.3077,61.7949
1,22.3077,57.1795
1,23.3333,52.9487
1,25.8974,51.0256
1,29.4872,51.0256
1,32.8205,51.0256
1,35.3846,51.4103
1,40.2564,51.4103
1,44.1026,52.9487
1,46.6667,54.1026
1,50.0,55.2564
1,53.0769,55.64100000000001
1,56.6667,56.0256
1,59.2308,57.9487
1,61.2821,62.1795
1,61.5385,66.4103
1,61.7949,69.1026
1,57.4359,55.2564
1,54.8718,49.8718
1,52.5641,46.0256
1,48.2051,38.3333
1,49.4872,42.1795
1,51.0256,44.1026
1,45.3846,36.4103
1,42.8205,32.5641
1,38.7179,31.4103
1,35.1282,30.2564
1,32.5641,32.1795
1,30.0,36.7949
1,33.5897,41.4103
1,36.6667,45.64100000000001
1,38.2051,49.1026
1,29.7436,36.0256
1,29.7436,32.1795
1,30.0,29.1026
1,32.0513,26.7949
1,35.8974,25.2564
1,41.0256,25.2564
1,44.1026,25.641
1,47.1795,28.718000000000004
1,49.4872,31.4103
1,51.5385,34.8718
1,53.5897,37.5641
1,55.1282,40.641
1,56.6667,42.1795
1,59.2308,44.4872
1,62.3077,46.0256
1,64.8718,46.7949
1,67.9487,47.9487
1,70.5128,53.718
1,71.5385,60.64100000000001
1,71.5385,64.4872
1,69.4872,69.4872
1,46.9231,79.8718
1,48.2051,84.1026
1,50.0,85.2564
1,53.0769,85.2564
1,55.3846,86.0256
1,56.6667,86.0256
1,56.1538,82.9487
1,53.8462,80.641
1,51.2821,78.718
1,50.0,78.718
1,47.9487,77.5641
1,29.7436,59.8718
1,29.7436,62.1795
1,31.2821,62.5641
1,57.9487,99.4872
1,61.7949,99.1026
1,64.8718,97.5641
1,68.4615,94.1026
1,70.7692,91.0256
1,72.0513,86.4103
1,73.8462,83.3333
1,75.1282,79.1026
1,76.6667,75.2564
1,77.6923,71.4103
1,79.7436,66.7949
1,81.7949,60.2564
1,83.3333,55.2564
1,85.1282,51.4103
1,86.4103,47.5641
1,87.9487,46.0256
1,89.4872,42.5641
1,93.3333,39.8718
1,95.3846,36.7949
1,98.2051,33.718
1,56.6667,40.641
1,59.2308,38.3333
1,60.7692,33.718
1,63.0769,29.1026
1,64.1026,25.2564
1,64.359,24.1026
1,74.359,22.9487
1,71.2821,22.9487
1,67.9487,22.1795
1,65.8974,20.2564
1,63.0769,19.1026
1,61.2821,19.1026
1,58.7179,18.3333
1,55.1282,18.3333
1,52.3077,18.3333
1,49.7436,17.5641
1,47.4359,16.0256
1,44.8718,13.718
1,48.7179,14.8718
1,51.2821,14.8718
1,54.1026,14.8718
1,56.1538,14.1026
1,52.0513,12.5641
1,48.7179,11.0256
1,47.1795,9.8718
1,46.1538,6.0256
1,50.5128,9.4872
1,53.8462,10.2564
1,57.4359,10.2564
1,60.0,10.640999999999998
1,64.1026,10.640999999999998
1,66.9231,10.640999999999998
1,71.2821,10.640999999999998
1,74.359,10.640999999999998
1,78.2051,10.640999999999998
1,67.9487,8.718
1,68.4615,5.2564
1,68.2051,2.9487
1,37.6923,25.7692
1,39.4872,25.3846
1,91.2821,41.5385
1,50.0,95.7692
1,47.9487,95.0
1,44.1026,92.6923
2,58.2136082599,91.881891513
2,58.1960536923,92.21498864819999
2,58.7182307185,90.31053208700001
2,57.27837287,89.9076067166
2,58.082020494,92.00814501010001
2,57.4894477748,88.08528556290001
2,28.088741319,63.5107944263
2,28.085468213600002,63.5901969481
2,28.087273053,63.1232828116
2,27.578025217600004,62.821038656599995
2,27.7799191139,63.518147516999996
2,28.5889998149,63.0240805653
2,28.7391414969,62.7208638859
2,27.024603240700003,62.9018588649
2,28.8013366963,63.38904038800001
2,27.186463838,63.5587296478
2,29.2851466002,63.3836058254
2,39.4029453026,51.1508571967
2,28.8113284396,61.3578540576
2,34.3039579069,56.542125909300005
2,29.6027609801,60.157346722
2,49.116156860299995,63.6600006211
2,39.6175458263,62.9251879574
2,43.23308466,63.1652187223
2,64.8927879422,65.81417675739999
2,62.4901493154,74.5842896072
2,68.98808442939999,63.232147305
2,62.105618630600006,75.99087075989999
2,32.4618467439,62.8819029189
2,41.3272006535,49.070251273900006
2,44.007149932299995,46.4496737846
2,44.0740606888,34.5532038906
2,44.00131523859999,33.9042073544
2,45.0063004454,38.2990195507
2,44.4438406096,36.0190833012
2,42.1787133986,26.492119482
2,44.0445656189,35.6622382764
2,41.6404540171,27.093095421300006
2,41.9383300069,24.991522979299997
2,44.0539275103,33.556392494899995
2,39.2067193308,51.5337156971
2,28.7044492315,61.777525400600005
2,31.7086628996,58.837754374
2,42.8117114739,30.0204484197
2,43.300614891,31.5264261979
2,40.3986329069,16.3470083822
2,40.4356915763,20.232670676199998
2,40.9365466658,16.913004836400006
2,39.661573665300004,15.609355577
2,40.899259175,20.7985289466
2,41.9686168283,26.497072598499997
2,40.383405823800004,21.3912255247
2,56.538126453800004,32.4442454697
2,52.9706912828,29.040196694099997
2,54.6209525885,30.3445244537
2,65.0990443941,27.2415575588
2,63.05599090760001,29.7090956748
2,70.9601362323,41.2595012867
2,69.8958192404,43.453759265500004
2,70.5958928563,41.9647438672
2,69.64702142729999,44.044445022
2,77.392982494,63.371459055200006
