date,wp,ws
2009070101,0.105,3.81
2009070102,0.033,3.68
2009070103,0.022000000000000002,3.66
2009070104,0.039,3.7
2009070106,0.105,3.66
2009070107,0.017,3.45
2009070108,0.017,3.2
2009070109,0.006,3.09
2009070110,0.0,3.21
2009070111,0.0,3.44
2009070112,0.0,3.55
2009070113,0.0,3.4
2009070114,0.0,3.16
2009070115,0.0,3.08
2009070116,0.0,3.32
2009070118,0.0,3.93
2009070120,0.05,3.27
2009070121,0.033,2.64
2009070123,0.0,1.74
2009070200,0.0,1.5
2009070201,0.0,1.15
2009070202,0.0,0.8
2009070203,0.0,0.66
2009070204,0.0,0.63
2009070205,0.0,0.56
2009070206,0.0,0.48
2009070207,0.0,0.37
2009070208,0.0,0.23
2009070209,0.0,0.32
2009070211,0.0,1.42
2009070212,0.0,1.48
2009070213,0.0,0.78
2009070214,0.0,0.42
2009070215,0.0,1.73
2009070216,0.039,2.83
2009070217,0.05,3.61
2009070218,0.055,4.07
2009070219,0.105,4.2
2009070220,0.08800000000000001,4.1
2009070221,0.066,3.92
2009070222,0.011000000000000001,3.77
2009070223,0.0,3.61
2009070300,0.0,3.33
2009070301,0.0,2.64
2009070302,0.0,2.23
2009070303,0.0,2.25
2009070304,0.0,2.7
2009070306,0.07200000000000001,3.89
2009070307,0.14300000000000002,4.17
2009070308,0.154,4.25
2009070309,0.07200000000000001,4.29
2009070310,0.171,4.42
2009070311,0.17600000000000002,4.64
2009070312,0.094,4.89
2009070313,0.055,5.14
2009070315,0.105,5.73
2009070316,0.34700000000000003,6.06
2009070317,0.573,6.34
2009070318,0.441,6.45
2009070319,0.34700000000000003,6.32
2009070320,0.518,6.09
2009070321,0.46799999999999997,5.93
2009070322,0.452,5.98
2009070323,0.364,6.12
2009070401,0.165,5.64
2009070402,0.264,5.35
2009070403,0.65,4.96
2009070404,0.595,4.42
2009070405,0.38,3.83
2009070406,0.386,3.33
2009070407,0.08800000000000001,3.0
2009070408,0.006,2.88
2009070409,0.011000000000000001,2.97
2009070410,0.05,3.3
2009070411,0.171,3.8
2009070414,0.127,5.26
2009070415,0.182,5.52
2009070416,0.11599999999999999,5.59
2009070417,0.061,5.49
2009070418,0.039,5.29
2009070420,0.061,4.54
2009070421,0.027999999999999997,3.88
2009070422,0.006,3.05
2009070423,0.022000000000000002,2.37
2009070500,0.017,2.19
2009070501,0.039,0.71
2009070502,0.05,1.01
2009070503,0.05,1.81
2009070504,0.033,2.61
2009070505,0.039,3.06
2009070506,0.022000000000000002,2.9
2009070507,0.154,2.37
2009070508,0.17600000000000002,2.65
2009070509,0.127,3.42
2009070510,0.039,3.59
2009070511,0.006,3.25
2009070512,0.0,2.9
2009070513,0.0,2.87
2009070514,0.0,3.05
2009070515,0.0,3.33
2009070516,0.0,3.61
