crime,industrial,river,buildings_age,roads_quality,school_quality,taxes,poverty,house_price,number_of_rooms,pollution
0.00632,2.31,0,65.2,1,15.3,296,4.98,24.0,6.575,0.5379999999999999
0.02731,7.07,0,78.9,2,17.8,242,9.14,21.6,6.421,0.469
0.032369999999999996,2.18,0,45.8,3,18.7,222,2.94,33.4,6.997999999999999,0.45799999999999996
0.06905,2.18,0,54.2,3,18.7,222,5.33,36.2,7.147,0.45799999999999996
0.08829,7.87,0,66.6,5,15.2,311,12.43,22.9,6.0120000000000005,0.524
0.22489,7.87,0,94.3,5,15.2,311,20.45,15.0,6.377000000000001,0.524
0.11747,7.87,0,82.9,5,15.2,311,13.27,18.9,6.0089999999999995,0.524
0.09378,7.87,0,39.0,5,15.2,311,15.71,21.7,5.888999999999999,0.524
0.62976,8.14,0,61.8,4,21.0,307,8.26,20.4,5.949,0.5379999999999999
0.6379600000000001,8.14,0,84.5,4,21.0,307,10.26,18.2,6.096,0.5379999999999999
0.62739,8.14,0,56.5,4,21.0,307,8.47,19.9,5.834,0.5379999999999999
1.05393,8.14,0,29.3,4,21.0,307,6.58,23.1,5.935,0.5379999999999999
0.80271,8.14,0,36.6,4,21.0,307,11.69,20.2,5.456,0.5379999999999999
1.25179,8.14,0,98.1,4,21.0,307,21.02,13.6,5.57,0.5379999999999999
0.8520399999999999,8.14,0,89.2,4,21.0,307,13.83,19.6,5.965,0.5379999999999999
1.2324700000000002,8.14,0,91.7,4,21.0,307,18.72,15.2,6.142,0.5379999999999999
0.9884299999999999,8.14,0,100.0,4,21.0,307,19.88,14.5,5.813,0.5379999999999999
0.9557700000000001,8.14,0,88.8,4,21.0,307,17.28,14.8,6.047000000000001,0.5379999999999999
1.13081,8.14,0,94.1,4,21.0,307,22.6,12.7,5.712999999999999,0.5379999999999999
1.3547200000000001,8.14,0,100.0,4,21.0,307,13.04,14.5,6.072,0.5379999999999999
1.6128200000000001,8.14,0,96.9,4,21.0,307,20.34,13.5,6.096,0.5379999999999999
0.17505,5.96,0,30.2,5,19.2,279,10.13,24.7,5.966,0.499
0.027630000000000002,2.95,0,21.8,3,18.3,252,4.32,30.8,6.595,0.428
0.033589999999999995,2.95,0,15.8,3,18.3,252,1.98,34.9,7.024,0.428
0.1415,6.91,0,6.6,3,17.9,233,5.81,25.3,6.169,0.44799999999999995
0.15936,6.91,0,6.5,3,17.9,233,7.44,24.7,6.211,0.44799999999999995
0.12269000000000001,6.91,0,40.0,3,17.9,233,9.55,21.2,6.069,0.44799999999999995
0.17142000000000002,6.91,0,33.8,3,17.9,233,10.21,19.3,5.682,0.44799999999999995
0.18836,6.91,0,33.3,3,17.9,233,14.15,20.0,5.7860000000000005,0.44799999999999995
0.22926999999999997,6.91,0,85.5,3,17.9,233,18.8,16.6,6.03,0.44799999999999995
0.21977,6.91,0,62.0,3,17.9,233,16.2,19.4,5.602,0.44799999999999995
0.08872999999999999,5.64,0,45.7,4,16.8,243,13.45,19.7,5.962999999999999,0.439
0.04337,5.64,0,63.0,4,16.8,243,9.43,20.5,6.115,0.439
0.04981,5.64,0,21.4,4,16.8,243,8.43,23.4,5.997999999999999,0.439
0.0136,4.0,0,47.6,3,21.1,469,14.8,18.9,5.888,0.41
0.01311,1.22,0,21.9,5,17.9,226,4.81,35.4,7.249,0.40299999999999997
