User-ID,ISBN,Book-Rating
99,0316748641,7
99,0446677450,10
99,0553347594,9
99,0451166892,3
99,0671621009,10
99,0312252617,8
114,0671027360,10
114,0553584383,9
114,0451208080,8
243,155874262X,5
243,0375400117,10
243,0446364800,9
243,0060915544,10
243,0316776963,9
243,0449006522,6
243,044023722X,7
243,0385720106,7
243,0786863986,5
243,0385316895,6
243,0553580388,8
243,0060977493,7
243,0803251718,5
243,0140272100,6
244,0804111359,8
244,0375704965,8
244,0060987103,8
244,1558744150,6
244,0151008116,9
244,0060977493,7
244,155874262X,6
254,0618002227,8
254,0679879242,8
254,0439064864,9
254,0399146431,9
254,156971620X,9
254,1931081727,9
254,0439136369,9
254,0618002219,9
254,156389226X,9
254,0142001740,9
254,0380973839,9
254,0451526341,8
254,0671021001,7
254,0380789035,10
254,0060976977,7
254,0312863934,9
254,0373243944,5
254,0373810601,6
254,0373836023,7
254,0590353403,9
254,037582345X,9
254,0451406176,6
254,0373226144,5
254,0375823468,9
254,0380730448,8
254,0380810492,7
254,0451524934,9
254,0380973634,10
254,0373226063,6
254,0380977281,8
254,0439139597,9
254,0451409256,7
300,038081840X,5
300,055329198X,5
300,0671018930,5
300,0812541642,5
300,0449912302,9
300,0345430476,5
300,0380728729,5
300,0312963009,5
388,006101351X,6
388,0060973897,8
388,1878424319,7
388,0553569058,10
388,0060976845,3
388,0140104682,6
388,0940322978,4
388,0802114369,8
388,0452279690,10
446,0060925000,8
446,0061000280,10
446,0393048977,5
446,039914739X,3
446,0486281965,10
446,0684824442,9
446,081296666X,5
446,1877727083,8
446,0026329859,10
446,0451523318,10
503,0395798671,10
503,0385496095,10
503,0515131679,8
503,0809244942,10
503,0373076746,7
503,0805009086,10
503,1558743669,10
507,0553294849,7
507,0553583468,7
507,0679893105,9
638,0385420161,9
638,0316789089,10
638,0679746048,7
638,0316769487,10
638,0316666343,10
638,0446523569,10
638,0670892963,7
638,0316776963,10
638,1558747346,8
638,0842336214,7
638,0446527793,10
638,0446531332,10
638,0140128107,10
638,0684874318,10
638,0425184129,9
638,052594463X,9
638,0399148582,9
638,0609605925,8
638,0394574745,8
638,0385505833,10
638,0385470819,9
638,0345428900,8
638,0345339711,10
638,0743406176,10
638,0609606727,8
638,0316969443,10
638,0671042556,9
638,0679732241,9
638,0679442790,10
638,0679410430,10
643,0007100221,7
643,0140366857,9
643,0140622063,8
643,0198604025,7
643,0416196772,8
643,0752804510,8
643,0571209521,7
643,1841950521,9
643,2253170372,8
643,1841952931,8
643,1853260002,2
643,2070322068,8
643,2253000868,8
643,0671894455,7
643,2253001457,8
643,2253170569,8
643,2253037796,7
643,0061092606,8
643,2253043974,8
643,2253051381,7
651,0440226694,8
651,0374386676,8
651,0553574159,6
651,0553574175,6
651,0345403339,7
651,0345370740,7
651,0962893862,4
651,1886383421,4
651,1888451084,7
651,0312287240,8
651,0307215342,6
651,0060006048,5
651,0440219604,8
651,0451456548,7
651,0553579673,7
709,0439221676,4
709,0152162445,10
709,1562477528,9
709,0060535032,5
709,0440415993,10
709,0316666343,3
709,0440219078,10
709,015216250X,10
709,0152162577,10
709,0439221714,4
709,0439042917,9
709,043922165X,9
709,0439221706,4
709,0439221684,5
735,0440120470,6
735,0440222818,7
735,0515134368,9
735,038533334X,4
735,0449001954,8
735,0451185277,8
735,1551660016,10
805,0440215625,8
805,0553268449,8
805,0679732764,10
805,0060256672,10
805,0375705228,8
805,038001503X,10
805,0810935627,7
805,014016930X,10
805,0877733759,10
805,0911104542,10
805,0140253602,4
805,0452282152,8
805,0671003755,8
805,039592720X,9
834,0141001771,5
834,0449005569,3
834,0671027344,7
834,0763615382,3
834,0786884622,3
834,1558747346,5
850,0671578103,6
850,3423009152,3
850,3426701448,8
882,0553205587,9
882,051509465X,9
882,0446344109,9
882,0440215978,5
882,0425195899,9
882,039607412X,10
882,0140440399,9
882,0064401847,10
882,0553250426,10
882,0380018179,10
882,0553272586,5
882,0679429220,9
882,0553572997,10
882,0440235162,10
882,0373218400,5
882,8423995801,10
882,0671641778,10
882,0515134368,6
882,0743457943,5
900,0553576976,5
900,0553572490,6
900,0425137015,6
900,0451454677,5
900,0373257074,5
900,0449212084,5
900,0373057296,5
900,0441001335,5
900,0451450604,5
901,0851707777,9
901,0551032510,9
901,0551031085,8
901,0140431268,8
901,000649840X,9
901,0785268480,10
901,0099771519,9
929,0439404371,8
929,0345307674,5
929,0553234811,6
929,0553801031,9
929,0345285549,5
929,0894803700,8
929,0766607119,8
929,0553296981,10
929,0679741011,5
929,0451169530,6
929,0226726770,7
1025,0552999512,7
1025,0552999504,8
1025,074603010X,9
1025,0811828379,9
1025,0434971383,7
1025,0394404289,9
1025,0142300128,10
1025,0679883878,8
1025,0552998001,9
1025,0140563733,9
1025,058242092X,7
1025,0743225082,8
1025,000636988X,9
1075,0472113658,5
1075,0316666343,7
1075,0553377868,9
1075,1400034779,5
1075,0142001740,10
1075,0767902521,9
1129,0064407667,4
1129,014025448X,7
1129,0151010102,7
1129,1558612815,9
1129,1400062888,3
1129,0385472951,6
1129,1931520038,10
1129,0553377876,3
1131,0174434642,8
1131,0743418174,7
1131,0385480016,9
1131,0451187903,7
1131,0394758285,7
1131,0060976845,7
1131,0070212570,7
1131,0449149676,7
1131,0312243022,8
1131,0451523067,8
1131,0679772677,7
1131,0375703055,7
1131,0061093092,8
1131,0061098361,7
1131,0446605891,6
1131,0679761837,7
1131,0345370805,7
1131,0671793489,7
1155,0451402103,8
1155,0671689231,7
1155,0671032658,9
1155,0671701053,5
1155,0451409256,9
1155,0373250223,8
1211,2070360024,8
1211,2264028815,9
1211,2264027681,9
1211,2258036992,9
1211,0099771519,9
1211,273811167X,7
1211,2070426815,7
1211,2070364283,7
1211,2290307831,9
1211,226612269X,7
1211,0786889373,8
1211,2253001295,6
1248,0803281730,10
1248,0934257345,9
1248,0312169655,10
1248,0205280854,9
1248,0553110721,10
1248,0553580272,10
1248,0449912558,10
1248,0679452281,9
1248,0345367898,10
1248,0312205872,10
1248,1558534245,10
1424,033390785X,9
1424,0375725296,7
1424,0451526988,7
1424,0380603764,6
1424,0061097314,5
1424,0767902521,8
1424,0330357808,6
1424,039914255X,7
1424,033036197X,6
1424,0385720106,7
1424,0451527569,7
1424,0531301427,8
1424,1841955469,7
1424,0099771519,8
1424,0618446877,8
1424,0553295071,6
1424,0804106304,6
1424,0743431014,7
1424,0316291161,8
1424,1585672939,5
1424,1585673625,7
1424,0743234413,8
1424,0060930535,7
1424,031215125X,7
1424,0151002290,6
1424,0142001430,7
1424,0061015725,8
1424,0812541979,6
1424,0140255087,10
1424,0061030015,5
1435,0345387651,5
1435,0875964125,5
1435,0844239461,5
1435,0684863324,9
1435,0060977477,5
